Nombre,Categoría,Subcategoría,Tlf Fijo,Tlf Móvil,Mail,Web,Localidad,Whatsapp eviado,Mail enviado
LA PELU,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vila-real,-1,-1
TANIA CAJAS,finanzas y gestion,servicios inmobiliarios,-1,-1,-1,-1,Vila-real,-1,-1
TABACOS ESTANCO,tabaco y loterias,"tabacos, cigarrillos electronicos y articulos de fumador",-1,-1,-1,-1,Vila-real,-1,-1
POLLOS PLANES,alimentacion,carnes / embutidos / huevos,-1,-1,-1,pollosplanes.com.es/,Vila-real,-1,-1
ALMUDENA SEGUROS,finanzas y gestion,seguros,-1,-1,-1,www.almudenaseguros.es/,Vila-real,-1,-1
ARSENAL DISCO-PUB,hosteleria y turismo,pubs y discotecas,-1,-1,-1,-1,Vila-real,-1,-1
ALVIGESTIO,finanzas y gestion,servicios inmobiliarios,-1,-1,-1,-1,Vila-real,-1,-1
FLORESTA,"flores, jardineria y animales","floristeria, jardineria y productos agricolas",-1,-1,-1,-1,Vila-real,-1,-1
CORMA,moda y complementos,moda y complementos en general,-1,-1,-1,-1,Vila-real,-1,-1
DULCE PAULA,moda y complementos,moda infantil y puericultura,-1,-1,-1,-1,Vila-real,-1,-1
MOVISTAR,"informatica, imagen y sonido",telefonia y telecomunicaciones,-1,-1,-1,www.movistar.es/,Vila-real,-1,-1
MAPFRE,finanzas y gestion,seguros,-1,-1,-1,www.mapfre.es,Vila-real,-1,-1
NO + VELLO,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,www.nomasvello.es/centros,Vila-real,-1,-1
GAES,salud y belleza,"servicios medicos (clinicas, ortopedia...)",-1,-1,-1,www.gaes.es/,Vila-real,-1,-1
LA PARISINA,moda y complementos,moda y complementos en general,-1,-1,-1,-1,Vila-real,-1,-1
LA CASITA DE MARIOLA,hogar y decoracion,hogar y decoracion en general,-1,-1,-1,-1,Vila-real,-1,-1
LOGOS,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vila-real,-1,-1
PARAISO FLORAL,"flores, jardineria y animales","floristeria, jardineria y productos agricolas",964033626,-1,-1,WWW.floristeriaparaisoflora.es,Vila-real,-1,-1
ZARUBA,moda y complementos,moda y complementos en general,964535587,-1,-1,-1,Vila-real,-1,-1
ECO MAS LOGIC VILA-REAL,servicios,servicios profesionales,964864299,-1,-1,www.ecomaslogic.es/,Vila-real,-1,-1
TALLERES FULGOR S.L.,vehiculos,compra-venta de vehiculos,964520620,-1,-1,www.talleresfulgor.com,Vila-real,-1,-1
PELUQUERIA NUKS,salud y belleza,peluquerias y salones de belleza,964534953,-1,-1,-1,Vila-real,-1,-1
PASTELERIA LA ERMITA,alimentacion,pan y pasteleria,964523103,-1,-1,-1,Vila-real,-1,-1
PASTELERIA DOLC I SALAT,alimentacion,pan y pasteleria,964521681,-1,-1,-1,Vila-real,-1,-1
PASTELERIA HERNANDEZ,alimentacion,pan y pasteleria,964520705,-1,-1,-1,Vila-real,-1,-1
TELER,servicios,servicios profesionales,964536133,-1,-1,-1,Vila-real,-1,-1
VILGRAF,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964523387,-1,-1,www.vilgraf.com,Vila-real,-1,-1
FRANCISCO PITARCH S.L.,servicios,servicios profesionales,964534185,-1,-1,www.franciscopitarch.com,Vila-real,-1,-1
A1FSPORT,"ocio, deportes y aficiones",material deportivo,964530852,-1,-1,www.a1fsport.com,Vila-real,-1,-1
BURGER KING,hosteleria y turismo,restaurantes,964537389,-1,-1,www.burgerking.es,Vila-real,-1,-1
EXOTICA RESTAURANT,hosteleria y turismo,restaurantes,964506833,-1,-1,www.exotikarestaurant.es,Vila-real,-1,-1
ANITTA ROOM,moda y complementos,moda y complementos en general,-1,-1,-1,anittaroom.com/es/,Vila-real,-1,-1
JOYERIA LOLA ALVARO,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964538653,-1,-1,www.lolaalvaro.com/,Vila-real,-1,-1
UNIASSER ORGANITZACIO S.L.,"informatica, imagen y sonido",informatica y consolas,964090609,-1,-1,www.uniasser.com,Vila-real,-1,-1
ECONECTIA UNIASSER S.L.,"informatica, imagen y sonido",electrodomesticos y electronica en general,964090609,-1,-1,www.econectia.com,Vila-real,-1,-1
OBJECT SERVICIOS INFORMATICOS,"informatica, imagen y sonido",electrodomesticos y electronica en general,964530230,-1,-1,www.objectsl.com/,Vila-real,-1,-1
MESON SORIA,hosteleria y turismo,restaurantes,964523495,-1,-1,-1,Vila-real,-1,-1
LA PULCINELLA,hosteleria y turismo,comidas para llevar,964832800,-1,-1,-1,Vila-real,-1,-1
ESPLIEGO,hosteleria y turismo,restaurantes,964530305,-1,-1,www.espliegorestaurante.com/,Vila-real,-1,-1
ELS LLUISOS,hosteleria y turismo,bar-cafeteria,964520013,-1,-1,-1,Vila-real,-1,-1
EL VASCO,hosteleria y turismo,restaurantes,964527541,-1,-1,www.restauranteelvasco.es/,Vila-real,-1,-1
EL TARONGER,hosteleria y turismo,restaurantes,964525939,-1,-1,-1,Vila-real,-1,-1
EL MOLI,hosteleria y turismo,restaurantes,-1,616429607,-1,-1,Vila-real,-1,-1
EL MISO,hosteleria y turismo,restaurantes,964520045,-1,-1,-1,Vila-real,-1,-1
RESTAURANTE CASINO,hosteleria y turismo,restaurantes,964521848,-1,-1,www.restaurantcasino.es/,Vila-real,-1,-1
CAL DIMONI,hosteleria y turismo,restaurantes,964535323,-1,-1,www.caldimoni.es,Vila-real,-1,-1
BAR RESTAURANTE NAVARRO,hosteleria y turismo,restaurantes,964536561,-1,-1,-1,Vila-real,-1,-1
BAR RESTAURANTE JUANI,hosteleria y turismo,restaurantes,964525293,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA HERMANAS GIL,salud y belleza,peluquerias y salones de belleza,964525765,-1,-1,-1,Vila-real,-1,-1
COETER,servicios,servicios profesionales,964530530,-1,-1,coetermarti.es/,Vila-real,-1,-1
PASTELERIA LA DELICIOSA,alimentacion,pan y pasteleria,964535593,-1,-1,-1,Vila-real,-1,-1
YOIGO,"informatica, imagen y sonido",telefonia y telecomunicaciones,964525615,-1,-1,www.yoigo.com/,Vila-real,-1,-1
EL FUMERAL,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964033108,-1,-1,-1,Vila-real,-1,-1
PASTELERIA LA PLAZA,alimentacion,pan y pasteleria,964536490,-1,-1,-1,Vila-real,-1,-1
RA ASESORES,finanzas y gestion,servicios inmobiliarios,964533790,-1,-1,www.ra-asesores.com/,Vila-real,-1,-1
EL SALO,salud y belleza,peluquerias y salones de belleza,964525073,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA GAUDI,salud y belleza,peluquerias y salones de belleza,964537216,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA CALPE,salud y belleza,peluquerias y salones de belleza,964526710,-1,-1,-1,Vila-real,-1,-1
BROSSES,salud y belleza,herboristerias y dietetica,964531215,-1,-1,www.brosses.es/,Vila-real,-1,-1
DE CAP A PEUS,salud y belleza,peluquerias y salones de belleza,964531655,-1,-1,www.decapapeusestilistes.com/,Vila-real,-1,-1
SANAHUJA EDO,salud y belleza,peluquerias y salones de belleza,964534352,-1,-1,-1,Vila-real,-1,-1
MARTA MONER PERRUQUERIA,salud y belleza,peluquerias y salones de belleza,964526602,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA GEMINIS,salud y belleza,peluquerias y salones de belleza,964534291,-1,-1,-1,Vila-real,-1,-1
BEVERLY PELUQUERIA,salud y belleza,peluquerias y salones de belleza,964835343,-1,-1,-1,Vila-real,-1,-1
GENERAL OPTICA,salud y belleza,opticas,964538276,-1,-1,www.generaloptica.es/,Vila-real,-1,-1
CHIARA ESTETICA,salud y belleza,peluquerias y salones de belleza,964523826,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA ESTHER,salud y belleza,peluquerias y salones de belleza,964521674,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA PAQUITA SALLA,salud y belleza,peluquerias y salones de belleza,964522149,-1,-1,-1,Vila-real,-1,-1
JJ CHIC SL,salud y belleza,peluquerias y salones de belleza,964523447,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA ROSA,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,www.rosamiro.com/,Vila-real,-1,-1
PELUQUERIA CONCHITA,salud y belleza,peluquerias y salones de belleza,964522421,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA VICENTE,salud y belleza,peluquerias y salones de belleza,964526002,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA Ma CARMEN,salud y belleza,peluquerias y salones de belleza,964528757,-1,-1,-1,Vila-real,-1,-1
ESTETICA CARMEN MATA,salud y belleza,peluquerias y salones de belleza,964523868,-1,-1,-1,Vila-real,-1,-1
PERRUQUERIA ANNA,salud y belleza,peluquerias y salones de belleza,964520511,-1,-1,-1,Vila-real,-1,-1
ONDES,salud y belleza,peluquerias y salones de belleza,964536617,-1,-1,-1,Vila-real,-1,-1
VICENT RUBERT,salud y belleza,peluquerias y salones de belleza,964523440,-1,-1,-1,Vila-real,-1,-1
TERE,salud y belleza,peluquerias y salones de belleza,964532112,-1,-1,-1,Vila-real,-1,-1
CLINICA DENTAL GABRIEL PANIAGUA,salud y belleza,"servicios medicos (clinicas, ortopedia...)",964527747,-1,-1,-1,Vila-real,-1,-1
FARMACIA DAVID MONFORT,salud y belleza,farmacias y parafarmacias,964520474,-1,-1,www.elrincondelafarmacia.com/,Vila-real,-1,-1
VISUALIS,salud y belleza,opticas,964525861,-1,-1,www.visualis.es/,Vila-real,-1,-1
Ma CARMEN PELUQUERIA,salud y belleza,peluquerias y salones de belleza,964521918,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA DANIELA,salud y belleza,peluquerias y salones de belleza,964837756,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA CABALLEROS VICTOR,salud y belleza,peluquerias y salones de belleza,964521936,-1,-1,-1,Vila-real,-1,-1
PELS PELS,salud y belleza,peluquerias y salones de belleza,964835126,-1,-1,-1,Vila-real,-1,-1
ANGEL PELUQUERO,salud y belleza,peluquerias y salones de belleza,964524944,-1,-1,-1,Vila-real,-1,-1
FARMACIA ANA CANDAU,salud y belleza,farmacias y parafarmacias,964520305,-1,-1,www.farmaciaanacandau.com/,Vila-real,-1,-1
PELUQUERIA RM,salud y belleza,peluquerias y salones de belleza,964522997,-1,-1,-1,Vila-real,-1,-1
MAYSBEL,salud y belleza,peluquerias y salones de belleza,964538577,-1,-1,-1,Vila-real,-1,-1
MULTIOPTICAS IBARRA,salud y belleza,opticas,964520382,-1,-1,-1,Vila-real,-1,-1
EL SABOR DE LA MANCHA,salud y belleza,herboristerias y dietetica,964500326,-1,-1,elsabordelamancha.galeon.com/,Vila-real,-1,-1
FLOTARIO TERAPIES ALTERNATIVES,salud y belleza,herboristerias y dietetica,964524168,-1,-1,-1,Vila-real,-1,-1
FARMACIA C VIDAL,salud y belleza,farmacias y parafarmacias,964530591,-1,-1,-1,Vila-real,-1,-1
GLORIA MIRO ESTILISTAS,salud y belleza,peluquerias y salones de belleza,964531051,-1,-1,www.estilistasgloriamiro.com/,Vila-real,-1,-1
K&P ROQUETA,salud y belleza,peluquerias y salones de belleza,964536376,-1,-1,-1,Vila-real,-1,-1
PELUQUERIA UNISEX SONIA,salud y belleza,peluquerias y salones de belleza,964536611,-1,-1,-1,Vila-real,-1,-1
G&A,salud y belleza,peluquerias y salones de belleza,964837071,-1,-1,-1,Vila-real,-1,-1
PENTINANTS,salud y belleza,peluquerias y salones de belleza,964538300,-1,-1,-1,Vila-real,-1,-1
FARMACIA MANUEL VILANOVA ROCA,salud y belleza,farmacias y parafarmacias,964521401,-1,-1,-1,Vila-real,-1,-1
ARANTXA BRONZEJAT I ESTETICA,salud y belleza,peluquerias y salones de belleza,964532023,-1,-1,-1,Vila-real,-1,-1
ESTILISTES LORENA,salud y belleza,peluquerias y salones de belleza,964837553,-1,-1,-1,Vila-real,-1,-1
FARMACIA PEDRO VILANOVA PATUEL,salud y belleza,farmacias y parafarmacias,964522317,-1,-1,-1,Vila-real,-1,-1
DE LA TERRA,salud y belleza,peluquerias y salones de belleza,964525605,-1,-1,-1,Vila-real,-1,-1
PALOMA ESTILISME,salud y belleza,peluquerias y salones de belleza,964529534,-1,-1,-1,Vila-real,-1,-1
DEPILAT,salud y belleza,peluquerias y salones de belleza,964531497,-1,-1,-1,Vila-real,-1,-1
TOC CABELL,salud y belleza,peluquerias y salones de belleza,964033505,-1,-1,-1,Vila-real,-1,-1
CRICERME,servicios,servicios profesionales,964523117,-1,-1,www.cricermesl.com/,Vila-real,-1,-1
CUCAES,servicios,servicios profesionales,964533066,-1,-1,-1,Vila-real,-1,-1
ELECTRICIDAD ANDRES ROCA,hogar y decoracion,electricidad,964520428,-1,-1,www.andresroca.com/,Vila-real,-1,-1
CRISTALERIA BROCH,hogar y decoracion,"cristaleria, vajilla, cuberteria, otros utensilios del hogar",964522996,-1,-1,www.cristaleriabroch.com/,Vila-real,-1,-1
VICENTE JORER SORIANO,servicios,servicios profesionales,-1,-1,-1,-1,Vila-real,-1,-1
EL DESVAN,hogar y decoracion,hogar y decoracion en general,964524510,-1,-1,-1,Vila-real,-1,-1
YEMANYA,servicios,servicios profesionales,964053635,-1,-1,-1,Vila-real,-1,-1
ILUMINACION Y DISENO,hogar y decoracion,iluminacion,964527863,-1,-1,-1,Vila-real,-1,-1
DROGUERIA DELFINA,drogueria - perfumeria,drogueria y productos de limpieza,964526780,-1,-1,-1,Vila-real,-1,-1
MAXICER,servicios,servicios profesionales,964522252,-1,-1,-1,Vila-real,-1,-1
SSH INFORMACIONES,"informatica, imagen y sonido",informatica y consolas,964839461,-1,-1,-1,Vila-real,-1,-1
SEGURIDAD SERVICIOS Y HARDWARE,"informatica, imagen y sonido",informatica y consolas,964839461,-1,-1,-1,Vila-real,-1,-1
SERVA FONTANEROS,hogar y decoracion,fontaneria,964538951,-1,-1,-1,Vila-real,-1,-1
AGULLEIRO PUBLICIDAD,servicios,servicios profesionales,-1,639348591,-1,-1,Vila-real,-1,-1
JOSEFA AIBAR SANTILLANA,servicios,servicios profesionales,-1,-1,-1,-1,Vila-real,-1,-1
CAFETERIA FINA,hosteleria y turismo,bar-cafeteria,964536755,-1,-1,-1,Vila-real,-1,-1
LA CASA ENCANTADA,hosteleria y turismo,pubs y discotecas,-1,-1,-1,-1,Vila-real,-1,-1
CAFETERIA LAS ESPIGAS,hosteleria y turismo,bar-cafeteria,964525777,-1,-1,-1,Vila-real,-1,-1
CAFETERIA CARINYENA,hosteleria y turismo,bar-cafeteria,964535730,-1,-1,-1,Vila-real,-1,-1
CAFETERIA ADELA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vila-real,-1,-1
DOLCES DECADES,hosteleria y turismo,bar-cafeteria,964636491,-1,-1,-1,Vila-real,-1,-1
CAFETERIA EL TALLAET,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vila-real,-1,-1
VIAJES NAUTALIA,servicios,agencias de viaje,964534830,-1,-1,-1,Vila-real,-1,-1
ESPLAI CAFE,hosteleria y turismo,bar-cafeteria,964102652,-1,-1,-1,Vila-real,-1,-1
B TRAVEL,servicios,agencias de viaje,964536483,-1,-1,www.barcelo.com/,Vila-real,-1,-1
MARETA,moda y complementos,moda infantil y puericultura,964520799,-1,-1,-1,Vila-real,-1,-1
TALLERES INFANTES,"ocio, deportes y aficiones","cines, teatros y espectaculos",964524062,-1,-1,-1,Vila-real,-1,-1
TODOJUGUETE,"ocio, deportes y aficiones",juguetes y articulos de fiesta,964535800,-1,-1,www.todojuguete.es/,Vila-real,-1,-1
MON PARC,moda y complementos,moda infantil y puericultura,964529782,-1,-1,www.parqueinfantilmonparc.com/,Vila-real,-1,-1
DON GOS,"flores, jardineria y animales",mascotas y accesorios,964522221,-1,-1,www.dongos.es/,Vila-real,-1,-1
XICOTETS,moda y complementos,moda y complementos en general,964538413,-1,-1,-1,Vila-real,-1,-1
CALZADOS KAIRA'S,moda y complementos,"zapatos, bolsos y complementos",-1,-1,-1,-1,Vila-real,-1,-1
REMIENDO CALZADO,servicios,reparacion de calzado,964531722,-1,-1,-1,Vila-real,-1,-1
CONFECCIONES SAN MATEO,moda y complementos,moda y complementos en general,964537629,-1,-1,-1,Vila-real,-1,-1
BENJAMIN ORTEGA ZARZA,moda y complementos,moda y complementos en general,964052231,-1,-1,-1,Vila-real,-1,-1
CASA PAQUI,moda y complementos,moda y complementos en general,964521910,-1,-1,-1,Vila-real,-1,-1
COKETOS,moda y complementos,moda y complementos en general,964053833,-1,-1,-1,Vila-real,-1,-1
MERCERIA FIL I AGULLA,moda y complementos,merceria,964523842,-1,-1,-1,Vila-real,-1,-1
CALZADOS BIENVENIDA,moda y complementos,"zapatos, bolsos y complementos",964526171,-1,-1,-1,Vila-real,-1,-1
VDA DE CENTELLES,moda y complementos,moda y complementos en general,964525917,-1,-1,-1,Vila-real,-1,-1
PEUETS,moda y complementos,"zapatos, bolsos y complementos",-1,-1,-1,-1,Vila-real,-1,-1
CALZADOS JADE,moda y complementos,"zapatos, bolsos y complementos",964535453,-1,-1,-1,Vila-real,-1,-1
TINTORERIA BIENVENIDA,servicios,lavanderias,964520384,-1,-1,-1,Vila-real,-1,-1
LA CASETA DE ANNA,moda y complementos,moda y complementos en general,964532727,-1,-1,-1,Vila-real,-1,-1
CORTINAJES PEDRO,hogar y decoracion,hogar y decoracion en general,964520890,-1,-1,-1,Vila-real,-1,-1
BOUTIQUE D-2,moda y complementos,moda y complementos en general,964521620,-1,-1,-1,Vila-real,-1,-1
MAURO COLECCION HOMBRE,moda y complementos,moda y complementos en general,964527427,-1,-1,-1,Vila-real,-1,-1
MERCERIA FORTUNO,moda y complementos,merceria,964520422,-1,-1,-1,Vila-real,-1,-1
ELEGANS,moda y complementos,moda y complementos en general,964520122,-1,-1,-1,Vila-real,-1,-1
GALERIAS LA ESPERANZA,moda y complementos,moda y complementos en general,964531810,-1,-1,-1,Vila-real,-1,-1
DEPORTES EVA,"ocio, deportes y aficiones",material deportivo,964521238,-1,-1,-1,Vila-real,-1,-1
JCH ROPA DE TRABAJO,moda y complementos,moda y complementos en general,964053053,-1,-1,-1,Vila-real,-1,-1
CANEM,moda y complementos,moda y complementos en general,964538004,-1,-1,www.canem.es,Vila-real,-1,-1
SILVIA LENCERIA,moda y complementos,lenceria,964524591,-1,-1,-1,Vila-real,-1,-1
MERCERIA FIL D'OR,moda y complementos,merceria,964531119,-1,-1,-1,Vila-real,-1,-1
MODAS ADA,moda y complementos,moda y complementos en general,964520936,-1,-1,www.modasada.com,Vila-real,-1,-1
CORNER,moda y complementos,moda y complementos en general,964536065,-1,-1,-1,Vila-real,-1,-1
LUGANO SHOES,moda y complementos,"zapatos, bolsos y complementos",-1,-1,-1,-1,Vila-real,-1,-1
DAMAS CALZADO,moda y complementos,"zapatos, bolsos y complementos",964538137,-1,-1,-1,Vila-real,-1,-1
MODAS CRIS MARC C13,moda y complementos,moda y complementos en general,964521364,-1,-1,-1,Vila-real,-1,-1
DOLORES JUAN CORTES,moda y complementos,moda y complementos en general,964532769,-1,-1,-1,Vila-real,-1,-1
SEDA I COTO,moda y complementos,moda y complementos en general,-1,-1,-1,-1,Vila-real,-1,-1
NATUR-NET,moda y complementos,moda y complementos en general,964836042,-1,-1,-1,Vila-real,-1,-1
JUANJO MODAS,moda y complementos,moda y complementos en general,964533786,-1,-1,-1,Vila-real,-1,-1
TALLER DE LAS LABORES,moda y complementos,moda y complementos en general,964838198,-1,-1,-1,Vila-real,-1,-1
NADONS SL,moda y complementos,moda infantil y puericultura,964500282,-1,-1,-1,Vila-real,-1,-1
ARACELI TIRADO GIL,moda y complementos,moda y complementos en general,964524450,-1,-1,-1,Vila-real,-1,-1
MERCERIA LLENSERIA MATILDE,moda y complementos,merceria,964052739,-1,-1,-1,Vila-real,-1,-1
TOT TELES,moda y complementos,moda y complementos en general,964527699,-1,-1,-1,Vila-real,-1,-1
CALZADOS AMABEL,moda y complementos,"zapatos, bolsos y complementos",964335881,-1,-1,-1,Vila-real,-1,-1
MERCERIA PILAR,moda y complementos,merceria,964525479,-1,-1,-1,Vila-real,-1,-1
MODA INFANTI MENUTS,moda y complementos,moda infantil y puericultura,964527064,-1,-1,-1,Vila-real,-1,-1
PASARELA,moda y complementos,moda y complementos en general,964538745,-1,-1,-1,Vila-real,-1,-1
VIT SEC,servicios,tintorerias,964636517,-1,-1,www.vitsec.com/,Vila-real,-1,-1
COPITOS,moda y complementos,moda y complementos en general,964835683,-1,-1,-1,Vila-real,-1,-1
MELMAN KIDS,moda y complementos,moda y complementos en general,-1,-1,-1,-1,Vila-real,-1,-1
CONFECCIONES BENLLOCH,moda y complementos,moda y complementos en general,964521259,-1,-1,-1,Vila-real,-1,-1
DEKADA,moda y complementos,moda y complementos en general,964537457,-1,-1,-1,Vila-real,-1,-1
MON'S,moda y complementos,moda y complementos en general,964522207,-1,-1,-1,Vila-real,-1,-1
BOLSOS ISERTE,moda y complementos,"zapatos, bolsos y complementos",964536152,-1,-1,-1,Vila-real,-1,-1
VEDI,moda y complementos,moda y complementos en general,964521951,-1,-1,-1,Vila-real,-1,-1
CHELO MODAS,moda y complementos,moda y complementos en general,964536994,-1,-1,-1,Vila-real,-1,-1
EXACTE,moda y complementos,moda y complementos en general,-1,-1,-1,-1,Vila-real,-1,-1
TINTORERIA ECOLOGICA,servicios,tintorerias,-1,-1,-1,-1,Vila-real,-1,-1
PICMAR,moda y complementos,moda y complementos en general,964531446,-1,-1,-1,Vila-real,-1,-1
TEXAS MUJER,moda y complementos,moda y complementos en general,964537450,-1,-1,www.texasjeans.es,Vila-real,-1,-1
COSITS,moda y complementos,moda y complementos en general,-1,-1,-1,-1,Vila-real,-1,-1
CORTINAJES XELO,hogar y decoracion,hogar y decoracion en general,964530087,-1,-1,-1,Vila-real,-1,-1
DAKOTA,moda y complementos,"zapatos, bolsos y complementos",964520647,-1,-1,-1,Vila-real,-1,-1
PACO'S CALZADOS,moda y complementos,"zapatos, bolsos y complementos",964532773,-1,-1,-1,Vila-real,-1,-1
GREOR ALTA MODA,moda y complementos,moda y complementos en general,964520072,-1,-1,-1,Vila-real,-1,-1
PAQUETERIA GLORIA,moda y complementos,merceria,964533007,-1,-1,-1,Vila-real,-1,-1
IMPRENTA LLORENS,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964535683,-1,-1,-1,Vila-real,-1,-1
LLIBRES I GRACIA,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964837036,-1,-1,-1,Vila-real,-1,-1
PAPELERIA CARMEN,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964524967,-1,-1,www.libreriacarmen.com/,Vila-real,-1,-1
MADOVA,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964527984,-1,-1,www.imprentamadova.com/,Vila-real,-1,-1
PAPERERIA LLIBRERIA IMA,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964535076,-1,-1,-1,Vila-real,-1,-1
LLIBRERIA AUSIAS,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964533673,-1,-1,-1,Vila-real,-1,-1
KIOSKO PILAR,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964527612,-1,-1,-1,Vila-real,-1,-1
LLIBRERIA ESCULTOR FUSTER,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964520769,-1,-1,-1,Vila-real,-1,-1
KIOSKO PENAGOLOSA,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",-1,-1,-1,-1,Vila-real,-1,-1
PAPELERIA MUKY,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964533115,-1,-1,-1,Vila-real,-1,-1
PAPELERIA BROCH,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964526655,-1,-1,-1,Vila-real,-1,-1
PAPELERIA RUBERT,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964523357,-1,-1,-1,Vila-real,-1,-1
KIOSCOS AVENIDA,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964524476,-1,-1,-1,Vila-real,-1,-1
ELS COLORINS D'ANA,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964537593,-1,-1,-1,Vila-real,-1,-1
KIOSCO EL SEDRE,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964536345,-1,-1,-1,Vila-real,-1,-1
JOYERIA DAVID MARTIN NAVARRO,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964527360,-1,-1,-1,Vila-real,-1,-1
RUBERT SELECCIO,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964525427,-1,-1,-1,Vila-real,-1,-1
D'ARGENT,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964524548,-1,-1,-1,Vila-real,-1,-1
RELOJERIA JOYERIA PUIG,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964521627,-1,-1,-1,Vila-real,-1,-1
ALEJANDRO JOYERIA,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964537401,-1,-1,-1,Vila-real,-1,-1
JOYERIA MAJOR,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964523010,-1,-1,-1,Vila-real,-1,-1
AMOROS,finanzas y gestion,servicios inmobiliarios,-1,-1,-1,-1,Vila-real,-1,-1
FOTOCINE RUZAFA,"informatica, imagen y sonido",fotografia,964522898,-1,-1,www.lorenzoruzafa.com/,Vila-real,-1,-1
BAR HERMINIO,hosteleria y turismo,bar-cafeteria,964521932,-1,-1,-1,Vila-real,-1,-1
TOT LLUM LA PLANA,hogar y decoracion,hogar y decoracion en general,964538728,-1,-1,-1,Vila-real,-1,-1
FLORISTERIA IKEBANA,"flores, jardineria y animales","floristeria, jardineria y productos agricolas",964521697,-1,-1,-1,Vila-real,-1,-1
FLORISTERIA SIGNIA,"flores, jardineria y animales","floristeria, jardineria y productos agricolas",964520119,-1,-1,-1,Vila-real,-1,-1
SERVICOLOR,"informatica, imagen y sonido",electrodomesticos y electronica en general,964526865,-1,-1,servicolor.com/,Vila-real,-1,-1
SALAZONES CABEDO,alimentacion,encurtidos / frutos secos / aperitivos,964528033,-1,-1,-1,Vila-real,-1,-1
PINAZO BONACHO,alimentacion,alimentacion en general,964524581,-1,-1,-1,Vila-real,-1,-1
NATA I XOCOLATE,alimentacion,pan y pasteleria,964836226,-1,-1,www.nataixocolate.com/home.html,Vila-real,-1,-1
HELADERIA HORCHATERIA LA MURA,hosteleria y turismo,heladeria-horchateria,964521311,-1,-1,-1,Vila-real,-1,-1
SALAZONES CAMISONES,alimentacion,encurtidos / frutos secos / aperitivos,964520387,-1,-1,-1,Vila-real,-1,-1
NOVOPRIX,alimentacion,alimentacion en general,964538435,-1,-1,-1,Vila-real,-1,-1
EL PEATON VIDEOPRODUCCIONS S.L.,"informatica, imagen y sonido",electrodomesticos y electronica en general,964055397,-1,-1,www.elpeaton.es,Vila-real,-1,-1
CLINICA DENTAL DOCTORA AYET,salud y belleza,"servicios medicos (clinicas, ortopedia...)",964523452,-1,-1,www.clinicaayet.com,Vila-real,-1,-1
VILADENTAL,salud y belleza,"servicios medicos (clinicas, ortopedia...)",964535971,-1,-1,www.viladental.es,Vila-real,-1,-1
PRODUCCIONS SCURA S.L.,"ocio, deportes y aficiones","cines, teatros y espectaculos",-1,667741345,-1,www.scuraweb.com,Vila-real,-1,-1
TALKTOME SCHOOL,servicios,"servicios de formacion (autoescuelas, academias...)",964525665,-1,-1,www.talktomeschool.com,Vila-real,-1,-1
