web-scraper-order,web-scraper-start-url,id_local,id_local-href,tlf,mail,web,web2,cat,subcat,Localidad
1683625638-466,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,STRADIVARIUS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/stradivarius-9,Teléfono964455707,Webhttp://www.stradivarius.com,,LA VIE,Moda y complementos,Moda mujer,Vinaròs
1683625641-467,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,JOYERIA PLATERIA ROCA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/joyeria-roca,Teléfono964450457,EmailROCABLASCO@GMAIL.COM,,,Joyería - relojería,"Joyerías, relojerías, compra-venta de oro",Vinaròs
1683625644-468,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,IMPRENTA PAPELERIA SOTO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/papeleria-soto,Teléfono964450115,Móvil675451752,EmailIPR.SOTO@HOTMAIL.COM,QUIOSCO EL PILAR,"Papelería, librería y quioscos","Papelería, librería, prensa y quioscos",Vinaròs
1683625647-469,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,EXPOSICIONES MOLINER,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/exposiciones-moliner,,,,,Hogar y decoración,Decoración e interiorismo,Vinaròs
1683625650-470,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,VODAFONE VINARÒS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/vodafone,Móvil687198494,EmailVINAROZ@PEOPLECOM.ES,Webhttps://www.vodafone.es/c/particulares/es/,MUNDO MOVIL,"Informática, imagen y sonido",Telefonía y telecomunicaciones,Vinaròs
1683625653-471,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,APARICIO ESTUDI DE FOTOGRAFIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/aparicio-estudio-fotografia,Teléfono964450744,Móvil692136572,Whatsapp692136572,EmailFOTO@APARICIOESTUDI.COM,"Informática, imagen y sonido",Fotografía,Vinaròs
1683625656-472,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,COMERCIAL ADELL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/comerial-adell,Móvil661941284,EmailVIKIGEMINIS15@HOTMAIL.COM,,,Hogar y decoración,Material de construcción,Vinaròs
1683625659-473,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,TRIANGULO SABATERIES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/calzados-triangulo,Teléfono964454533,Móvil677511106,EmailTRIANGULOV@HOTMAIL.COM,CALZADOS BARROBES,Moda y complementos,"Zapatos, bolsos y complementos",Vinaròs
1683625662-474,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/26,CARRERAS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/carreras,Teléfono964454308,EmailCARRERASDECO@HOTMAIL.COM,,,Hogar y decoración,Decoración e interiorismo,Vinaròs
1683625668-475,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,CARNICERIA MESEGUER,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/carniceria-meseguer,Teléfono964450738,,,,Alimentación,Carnes / embutidos / huevos,Vinaròs
1683625671-476,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,ACADEMIA DE ESTÉTICA Y PELUQUERÍA HERRERO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perfeccionament-i-peluqueria-herrero,Teléfono964450971,Emailinfo@herreroperruquers.com,,PILI LA PELU,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625674-477,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,BRICOLART,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/bricolart,Móvil655867658,EmailBRICOLARTVINAROS@GMAIL.COM,,,Hogar y decoración,Bricolaje (herramientas para casa y jardín),Vinaròs
1683625677-478,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,FOTO ESTUDIO FRANCESC,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/foto-estudio-francesc,Teléfono964455060,,,,"Informática, imagen y sonido",Fotografía,Vinaròs
1683625680-479,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,RAZAS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/razas,Teléfono964459156,,,JAQUES SPORT,Moda y complementos,Moda y complementos en general,Vinaròs
1683625683-480,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,JET-SET GRUPO MODA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/jet-set,Teléfono964456024,EmailJMARCEL1964@GMAIL.COM,,,Moda y complementos,Moda y complementos en general,Vinaròs
1683625686-481,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,RMZ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/modas-ramirez,Teléfono964450624,EmailMODASRAMIREZ@GMAIL.COM,,MORA,Moda y complementos,Moda y complementos en general,Vinaròs
1683625689-482,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,SIONES SEGUNDA MANO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/siones-segunda-mano,Teléfono964105618,EmailSIONESOFERTAS@GMAIL.COM,,GRAN BAZAR YUAN MAO,Hogar y decoración,"Artesanía, cerámica, regalos y bazar",Vinaròs
1683625692-483,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,BORSACHE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/borsache-4,Teléfono964407736,EmailMODABORSACHE@GMAIL.COM,,CAROLINA MODAS,Moda y complementos,Moda mujer,Vinaròs
1683625695-484,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,RECICLADOS VINAROS S.L.,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/reciclados-vinaros-sl,Teléfono964454559,,,,"Informática, imagen y sonido",Electrodomésticos y electrónica en general,Vinaròs
1683625698-485,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,NATUR HOUSE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/natur-house-12,Teléfono964456762,Móvil655776117,EmailNATURHOUSE.VINAROS@GMAIL.COM,Webhttp://www.naturhouse.es,Salud y belleza,Herboristerías y dietética,Vinaròs
1683625701-486,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/25,MINIM OUTLET,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/minim-oulet,Teléfono964454648,Móvil678635715,Whatsapp678635715,EmailENRIC.CALDUCH@GMAIL.COM,Moda y complementos,Moda y complementos en general,Vinaròs
1683625707-487,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,MOVISTAR VINARÒS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/telyco-vinaros,Teléfono964407720,EmailTIENDAMOVISTARVINAROS@PROELECTRIC.ES,,MUNDO MOVIL,"Informática, imagen y sonido",Telefonía y telecomunicaciones,Vinaròs
1683625710-488,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,PELUQUERIA EBONY,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/peluqueria-ebony,Teléfono964455991,EmailFERMA2099SL@GMAIL.COM,,PELUQUERIA EBONY,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625713-489,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,ELECTRODOMÉSTICOS SEBASTIÀ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/electrodomesticos-sebastia,Teléfono964451405,,,,"Informática, imagen y sonido",Electrodomésticos y electrónica en general,Vinaròs
1683625716-490,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,BASE DEPORTES MOLINER BERNAD,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/base,Teléfono964452648,Móvil633497818,EmailMOLINER@BASE.NET,CICLES FANDOS,"Ocio, deportes y aficiones",Material deportivo,Vinaròs
1683625719-491,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,JOYERÍA SALES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/joyeria-sales-2,Teléfono964452213,EmailJOYERIASALES@HOTMAIL.COM,,JOYERÍA SALES,Joyería - relojería,"Joyerías, relojerías, compra-venta de oro",Vinaròs
1683625722-492,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,EL RASTRO MUSICAL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/el-rastro-musical,Teléfono964454214,Webhttps://www.rastromusical.com,,,"Ocio, deportes y aficiones",Música e instrumentos musicales,Vinaròs
1683625725-493,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,EMBOTITS I SALAONS ROSA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/xarcuteria-i-salaons-rosa,Móvil652374869,EmailRMBALAGUERPIERA@GMAIL.COM,Webhttps://mercatdevinaros.es/,CARNS QUEROL,Alimentación,Carnes / embutidos / huevos,Vinaròs
1683625728-494,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,FRUITES I VERDURES TERE I RAMÓN,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/fruites-i-verdures-tere-i-ramon,Móvil616677471,EmailFRUITESTEREIRAMON@GMAIL.COM,Webhttps://mercatdevinaros.es/,,Alimentación,Frutas y verduras,Vinaròs
1683625731-495,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,CONGELADOS Y SALAZONES TICA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/congelados-y-salazones,Teléfono964044372,Móvil675665189,EmailVICENTALLOPISF67@HOTMAIL.COM,Webhttps://mercatdevinaros.es/,Alimentación,Congelados,Vinaròs
1683625734-496,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,PERRUQUERIA CALAS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/peluqueria-calas,Teléfono964455272,Webhttps://es-es.facebook.com/pages/Peluqueria-calas/151577711563876,,Isabela Hair dresser,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625737-497,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,CENTRE D'ESTETICA NACAR,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/centre-estetica-nacar,,,,PERRUQUERIA XARO,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625740-498,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/24,MODAS TEJIDOS SALOM,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/modas-tejidos-salom-2,Teléfono964450486,,,,Moda y complementos,Moda y complementos en general,Vinaròs
1683625746-499,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,MARBRES CRUZADO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/marmoles-cruzado,Teléfono964451239,Móvil661197814,EmailMARBRESCRUZADO@GMAIL.COM,"SEBASTIAN QUIXAL, S.L.",Hogar y decoración,Material de construcción,Vinaròs
1683625749-500,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,AUTOMECANICA DEL PILAR VINARÒS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/automecanica-pilar-vinaros,Teléfono964451763,EmailAUTODELPILAR@HOTMAIL.COM,,,Vehículos,Mantenimiento y reparación de vehículos,Vinaròs
1683625752-501,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,COMERCIAL VIMAR,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/comercial-vimar,Teléfono964456207,EmailVIMARTORELL@HOTMAIL.COM,,,Hogar y decoración,Ferretería,Vinaròs
1683625755-502,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,BUFFON GROUP,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/buffon-group,Teléfono691446707,,,,Moda y complementos,Moda mujer,Vinaròs
1683625758-503,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,YOIGO VINARÒS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/yoigo-37,Teléfono964453419,EmailYOIGOVINAROS@HOTMAIL.COM,Webhttps://www.yoigo.com/,OIGATEL,"Informática, imagen y sonido",Telefonía y telecomunicaciones,Vinaròs
1683625761-504,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,TREBOL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/trebol-2,Teléfono964454579,,,LUZ MODA Y COMPLEMENTOS,Moda y complementos,Moda y complementos en general,Vinaròs
1683625764-505,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,TINTORERÍA CITYSEC,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/tintoreria-city-sec,Teléfono964454505,Móvil667039458,EmailRUBIOLAZAROSL@GMAIL.COM,,Servicios,Lavanderías,Vinaròs
1683625767-506,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,LENCERIA MONTSE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/lenceria-montse,Teléfono964455386,,,,Moda y complementos,Lencería,Vinaròs
1683625770-507,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,OBE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/obe-2,Teléfono964459117,,,DBLANC,Moda y complementos,Moda mujer,Vinaròs
1683625773-508,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,APP INFORMÁTIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/app-informatia,Teléfono964407923,EmailAPPVINAROS@GMAIL.COM,Webhttps://www.appinformatica.com,,"Informática, imagen y sonido",Informática y consolas,Vinaròs
1683625776-509,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,ANTONIO REQUENA S.L.,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/antonio-requena-sl,Teléfono964407035,EmailAREQUENA@YAHOO.ES,,BROTS VERDS,"Flores, jardinería y animales","Floristería, jardinería y productos agrícolas",Vinaròs
1683625779-510,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/23,BAR EL ARCO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/bar-arco,Teléfono686706703,,,LOCUTORIO MARHABA,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683625785-511,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,JOYERIA COPENHAGUE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/joyeria-copenhague,Teléfono964453373,,,JOYERIA RUICAT,Joyería - relojería,"Joyerías, relojerías, compra-venta de oro",Vinaròs
1683625788-512,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,"NIRVANA CAFE , S.C.",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/nirvana-cafe-sc,Teléfono647487913,,,LOCUTORIO MARHABA,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683625791-513,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,PANADERIA FRANCISCO CANO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/panaderia-francisco-cano,Teléfono964452543,,,QUATRE BARRES,Alimentación,Pan y pastelería,Vinaròs
1683625794-514,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,TALLERES CARLOS CASANOVA MIRALLES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/talleres-casanova,Teléfono964451688,EmailCARLOSCASANOVA_@HOTMAIL.COM,,NORAUTO SA,Vehículos,Mantenimiento y reparación de vehículos,Vinaròs
1683625797-515,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,PELUQUERÍA ANA LÓPEZ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/peluqueria-ana-lopez,Teléfono964459230,Móvil656823153,EmailANLOPHE@YAHOO.ES,J'ADORE,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625800-516,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,BAR ALONDRA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/bar-alandra,Teléfono964456778,,,,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683625803-517,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,PEIXATERIA ORTÍ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pescaderia-orti,Teléfono964453430,Móvil649908464,EmailP.ORTI@LIVE.COM,CONSERVES EL MENÚ,Alimentación,Pescados y mariscos,Vinaròs
1683625806-518,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,FARMÀCIA TERESA MATEU BARREDA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/farmacia-mateu,Teléfono964407341,Webhttp://farmaciamateuvinaros.es/,,,Salud y belleza,Farmacias y parafarmacias,Vinaròs
1683625809-519,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,ECOTINTO TERUEL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/centronet,Teléfono964456865,EmailCHIQNEG@HOTMAIL.COM,,,Servicios,Lavanderías,Vinaròs
1683625812-520,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,MUÑOZ TRIBUTACIÓN,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/munoz-tributacion,Teléfono964826655,EmailMUNOZTRIBUTACION@YAHOO.ES,,IBERCAJA BANCO SA,Finanzas y gestión,Entidades financieras,Vinaròs
1683625815-521,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,REPARACIÓN ELECTRODOMÉSTICOS VICTOR SEBASTIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/reparacion-electrodomesticos-victor-sebastia,Teléfono964402463,,,ENERGÍA SOLAR PABLO S.L.,Servicios,"Construcción, instalaciones y mantenimiento",Vinaròs
1683625818-522,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/22,BOUTIQUE CACHEMIR,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/boutique-cachemir,Teléfono964407982,,,MINIPREUS,Moda y complementos,Moda y complementos en general,Vinaròs
1683625840-523,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/16,TENA ZARAGOZA CLÍNICA DENTAL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/clinic-dental-tena-zaragoza-sl,Teléfono964450627,Móvil601018128,EmailTENAZARAGOZA@HOTMAIL.COM,Webhttps://www.tenazaragoza.com/,Salud y belleza,"Servicios médicos (clínicas, ortopedia...)",Vinaròs
1683625843-524,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/16,FARMÀCIA ROCA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/farmacia-roca,Teléfono964450187,Móvil646060727,EmailROCAFARMACIA@GMAIL.COM,VINARÒS FARMÀCIA,Salud y belleza,Farmacias y parafarmacias,Vinaròs
1683625846-525,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/16,MODES MERCE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/modes-merce,Teléfono616228995,,,JAQUES SPORT,Moda y complementos,Moda y complementos en general,Vinaròs
1683625861-526,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/14,EL RACONET,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/el-raconet-3,Teléfono964450493,Móvil615966022,EmailEL.RACONET@HOTMAIL.COM,,Hogar y decoración,Ferretería,Vinaròs
1683625864-527,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/14,PECES I TEIXITS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/peces-i-teixits,Teléfono964453498,EmailPECESITEIXITS@OUTLOOK.ES,,,Hogar y decoración,Textil hogar,Vinaròs
1683625867-528,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/14,PEIXATERIA FLORO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pescados-juan-btaforcadell,Móvil634362260,EmailPEIXFLORO@GMAIL.COM,Webhttps://mercatdevinaros.es/,COARVI,Alimentación,Pescados y mariscos,Vinaròs
1683625873-529,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/13,FRUITES I VERDURES J. GIL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/fruteria-8,Móvil640516382,EmailJOSEPGIL68@GMAIL.COM,Webhttps://mercatdevinaros.es/,VIZCARRO FRUITS,Alimentación,Frutas y verduras,Vinaròs
1683625876-530,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/13,EL MERCADILLO DE CARMONA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/el-mercadillo-carmona,Móvil626512377,EmailINFO@VINAROSFASHION.COM,,RMZ,Moda y complementos,Moda y complementos en general,Vinaròs
1683625882-531,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,CENTRE ESTETICA PERFIL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/centre-estetica-perfil,Teléfono964456817,Emailcentreesteticaperfil@hotmail.com,,A Pretty Nails | VINAROS,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625885-532,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,PANADERIA FARGA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/panaderia-farga,Teléfono964450336,EmailKIKOFARGA@MOVISTAR.ES,,,Alimentación,Pan y pastelería,Vinaròs
1683625888-533,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,LOCUTORIO MARINA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/locutorio-marina,Teléfono964828440,,,ORANGE VINARÒS,"Informática, imagen y sonido",Telefonía y telecomunicaciones,Vinaròs
1683625891-534,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,LOCUTORIO MARHABA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/locutorio-marhaba,Teléfono964455840,,,FAR WEST,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683625894-535,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,ESTANCO LA MERA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/estanco-mera,Teléfono964454093,,,,Tabaco y loterias,"Tabacos, cigarrillos electrónicos y artículos de fumador",Vinaròs
1683625897-536,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,MULTIOPTICAS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/optica-barreda,Teléfono964450248,Móvil722567894,EmailOPTICAEBARREDA@YAHOO.ES,,Salud y belleza,Ópticas,Vinaròs
1683625900-537,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,CHICOS CALZADOS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/zapateria-chicos,Teléfono964452347,Emailchicoscalzados@orange.es,,YOKO,Moda y complementos,"Zapatos, bolsos y complementos",Vinaròs
1683625903-538,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/12,LOCUTORIO ADEL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/locutorio-adel,Teléfono964827117,,,THE PHONE SHOP,"Informática, imagen y sonido",Telefonía y telecomunicaciones,Vinaròs
1683625909-539,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,NOVA LINEA STYL S.L.,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/nova-linea-styl-sl-2,Teléfono964453792,,,RAFFAEL PAGGES,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625912-540,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,CAFETERÍA HELADERÍA MOZART,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/cafeteria-heladeria-mozart,Móvil876612946,,,,Hostelería y turismo,Heladería-Horchatería,Vinaròs
1683625915-541,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,"PROMOCIONES RYM MUÑOZ, S.L.",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/promociones-rym-munoz-sl,,,,AGUILERA 5,Finanzas y gestión,Servicios inmobiliarios,Vinaròs
1683625918-542,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,PERRUQUERIA MANOLI,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/peluqueria-manoli,Teléfono964456423,Webhttps://es-es.facebook.com/pages/Peluquer%C3%ADa-Manoli/453272854692123,,AMALIA i JOSE PERRUQUERS,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683625921-543,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,FINCAS SUBIRATS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/fincas-subirats,Teléfono964407983,,,,Finanzas y gestión,Servicios inmobiliarios,Vinaròs
1683625924-544,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,CALZADOS CELMA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/calzados-celma,Teléfono964451540,,,CALZADOS BARROBES,Moda y complementos,"Zapatos, bolsos y complementos",Vinaròs
1683625927-545,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,AUTOESCOLA  AULA 3,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/autoescola-aula-3-2,Teléfono964452719,Móvil626199387,Whatsapp626199387,Emailmanuelacanrull@gmail.com,Servicios,Servicios profesionales,Vinaròs
1683625930-546,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,CARNES VINARÒS C.B.,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/carnes-vinaros-cb,,,,CARNICERIA CHARCUTERIA A. BUJ ALEGRE,Alimentación,Carnes / embutidos / huevos,Vinaròs
1683625933-547,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,PASTISSERIA PASTÍS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pastisseria-pastis,Teléfono964456951,Móvil689174832,,PRALINÉ,Alimentación,Pan y pastelería,Vinaròs
1683625936-548,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,DANI LOCUTORIO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/dani-locutorio,Teléfono964825302,,,ORANGE VINARÒS,"Informática, imagen y sonido",Telefonía y telecomunicaciones,Vinaròs
1683625939-549,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,MATIAS REMOLINA ORTIZ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/matias-remolina-ortiz,Teléfono964451614,,,,Alimentación,Alimentación en general,Vinaròs
1683625942-550,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/11,JOIERIA LOPEZ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/joyeria-lopez,Teléfono964450307,,,LAURA CORNER,Joyería - relojería,"Joyerías, relojerías, compra-venta de oro",Vinaròs
1683625949-551,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/10,PERRUQURIA ANGELS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/angels-perruqueria,Teléfono617053534,,,,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
